group,input,output,exclusive
1.2,1_* 2_MAÑANA,2_MAÑANA 1_*,1
1.2,1_* 2_HOY,2_HOY 1_*,1
1.2,1_* 2_v00s000 3_*,0_PASADO 1_* 2_v00s000 3_*,1
1.2,1_* 2_v00f000 3_*,1_* 2_v00f000 3_* 0_FUTURO,1
,,,
,,,
5.1,1_SER,,
5.1,1_ESTAR,,
5.1,1_TENER 2_HAMBRE,2_HAMBRE,
5.1,1_TENER 2_FRÍO,2_FRÍO,
5.1,1_TENER 2_CALOR,2_CALOR,
5.1,1_TENER 2_SED,2_SED,
5.1,1_TENER 2_SUEÑO,2_SUEÑO,
5.1,1_TENER 2_MIEDO,2_MIEDO,
5.1,1_TENER 2_RAZÓN,2_RAZÓN,
5.1,1_TENER 2_PRISA,2_PRISA,
2.1,1_da0000,,
2.1,1_di0000,,
2.1,1_EL,,
2.1,1_UN,,
2.1,1_UNA,,
0.1,1_adp,,
0.2,1_cconj,,
0.2,1_pr000000,,
0.3,1_punct,,
0.14,1_CHICA,0_MUJER,
0.14,1_CHICO,0_HOMBRE,
0.14,1_ADVERTIR,0_AVISAR,
0.15,1_MIRA,0_VER,
0.16,1_PROCEDENTE,,
,,,
0.9,1_SE 2_v000000,2_v000000,
0.9,1_SE 2_HABER 3_v000000,3_v000000,
0.9,1_SE 2_HABER,2_HABER,
,,,
0.10,1_ÉL 2_DIRIGIR,2_DIRIGIR,
0.10,1_ÉL 2_DEBER,2_DEBER,
0.10,1_ÉL 2_RETRASAR,2_RETRASAR,
0.10,1_ÉL 2_ADELANTAR,2_ADELANTAR,
0.10,1_ÉL 2_REVISAR,2_REVISAR,
0.10,1_ÉL 2_DETECTAR,2_DETECTAR,
0.10,1_ÉL 2_PRESENTAR,2_PRESENTAR,
0.10,1_ÉL 2_DECLARAR,2_DECLARAR,
0.10,1_ÉL 2_FACTURAR,2_FACTURAR,
0.10,1_ÉL 2_MOSTRADOR,2_MOSTRADOR,
0.10,1_ÉL 2_PUERTA,2_PUERTA,
0.10,1_ÉL 2_EQUIPAJE,2_EQUIPAJE,
0.10,1_ÉL 2_TAQUILLA,2_TAQUILLA,
0.10,1_ÉL 2_ANDÉN,2_ANDÉN,
0.10,1_ÉL 2_OFICINA,2_OFICINA,
0.10,1_ÉL 2_CONSIGNA,2_CONSIGNA,
0.10,1_ÉL 2_REALIZAR,2_REALIZAR,
0.10,1_ÉL 2_DAR,2_DAR,
0.10,1_ÉL 2_ENCONTRAR,2_ENCONTRAR,
0.10,1_ÉL 2_URGENTEMENTE,2_URGENTEMENTE,
0.10,1_ÉL 2_INMEDIATAMENTE,2_INMEDIATAMENTE,
0.10,1_ÉL 2_CIRCULAR,2_CIRCULAR,
0.10,1_ÉL 2_CERRAR,2_CERRAR,
0.10,1_ÉL 2_LLEVAR,2_LLEVAR,
0.10,1_ÉL 2_SUFRIR,2_SUFRIR,
0.10,1_ÉL 2_OFRECER,2_OFRECER,
,,,
0.101,1_DIRIGIR 2_ÉL 3_TAQUILLA,1_DIRIGIR 3_TAQUILLA,
0.101,1_DIRIGIR 2_ÉL 3_VÍA,1_DIRIGIR 3_VÍA,
0.101,1_PRESENTAR 2_ÉL 3_TAQUILLA,1_PRESENTAR 3_TAQUILLA,
0.101,1_ENCONTRAR 2_ÉL 3_*,1_ENCONTRAR 3_*,
0.101,1_ENCONTRAR 2_ÉL,1_ENCONTRAR,
0.101,1_EFECTUAR 2_SU 3_ENTRADA,0_LLEGAR,
0.101,1_EFECTUAR 2_SU 3_SALIDA,0_SALIR,
0.101,1_EFECTUAR 2_* 3_ENTRADA,0_LLEGAR,
0.101,1_EFECTUAR 2_* 3_SALIDA,0_SALIR,
,,,
0.11,1_UNO 2_RETRASO,2_RETRASO,
0.11,1_UNO 2_DEMORA,2_DEMORA,
0.11,1_UNO 2_TREN,2_TREN,
0.11,1_UNO 2_PARADA,2_PARADA,
0.11,1_UNO 2_VUELO,2_VUELO,
0.11,1_UNO 2_SERVICIO,2_SERVICIO,
0.11,1_UNO 2_AVISO,2_AVISO,
0.11,1_UNO 2_MINUTO,2_MINUTO,
0.11,1_UNO 2_HORA,2_HORA,
0.11,1_UNO 2_ALTERNATIVO,2_ALTERNATIVO,
,,,
0.12,1_SU 2_noun,,
0.12,1_SU 2_ENTRADA,2_ENTRADA,
0.12,1_SU 2_SALIDA,2_SALIDA,
0.12,1_SU 2_LLAMADA,2_LLAMADA,
0.12,1_SU 2_LLEGADA,2_LLEGADA,
0.12,1_SU 2_PARADA,2_PARADA,
0.12,1_SU 2_PUERTA,2_PUERTA,
0.12,1_SU 2_EQUIPAJE,2_EQUIPAJE,
0.12,1_SU 2_OBJETO,2_OBJETO,
0.12,1_CERRAR 2_SU 3_PUERTA,1_CERRAR 3_PUERTA,
0.12,1_PREPARAR 2_SU 3_EQUIPAJE,1_PREPARAR 3_EQUIPAJE,
0.12,1_RECOGER 2_SU 3_OBJETO,1_RECOGER 3_OBJETO,
0.12,1_RECOJAR 2_SU 3_OBJETO,1_RECOJAR 3_OBJETO,
0.12,1_REALIZAR 2_SU 3_ÚLTIMO,1_REALIZAR 3_ÚLTIMO,
